ORDER_NUMBER;ESTADO_SEGUIMIENTO;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;ROUTE_LABEL;NET_TOTAL;CURRENCY;EMISION_DATE_PO;CATEGORY;MODE;MBL_NUMBER;CONTAINER_TYPE;CONTAINER_NUMBER;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DATE_BOOKING_REQUEST;DATE_BOOKING_AUTHORIZED;DATE_CARGA_PO;DATE_THEORICAL_LOAD;CARGA_LISTA_VALIDADA;DIF_LOAD_DATE;ETD_INITIAL_VALIDATED;DATE_ETD_INITIAL;DATE_ETD_UPDATED;DATE_ETD;ETD_DATES_DIFFERENCE;ETA_INICIAL;DATE_ETA_UPDATED;DATE_ETA;ETA_DATES_DIFFERENCE;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;DEPARTURE_PORT;PORT_OF_LOADING_VALIDATED;ARRIVAL_PORT;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;CARGO_INVOICE_NUMBER;FREIGHT_AMOUNT;SERVICE_PROVIDER;CBM;INVOICE;INVOICE_AMOUNT;FACTURA_MERCA;HAS_FACTURE_MERCA;VISIBILITY_NOTES;APPLIES_TLC;COMMENTS;APPLY_TECHNICAL_NOTE;APPLIES_AF;BONDED_WAREHOUSE_ENTER;BONDED_WAREHOUSE_EXIT;REASON;SHIPPING_LINE;FORWADER_DATE;CONTAINER_FREE_DAYS;TARIFF_TYPE;CUSTOMER_TYPE;INSPECTION_DATE;VGM_CUT_DATE;FECHA_SHIPPING_DOCS;BALANCE_PAYMENT_DATE;LOCAL_CHARGES_PAYMENT_DATE;RELEASE_DATE;TRADING_COMPANY
6701044;Ingresada;327;WUHU XINGDIAN INDUSTRY CO., LTD                            ;85;Directo CR - FERRETERIA EPA, S.A.;37.804;USD;07-08-25;<null>;2;ASSHA510973;23;CAAU6958628;FOB  ;FOB  ;FOB  ;17-11-25;17-11-25;24-11-25;24-11-25;Y;0;Y;07-12-25;14-12-25;07-12-25;0;23-01-26;07-02-26;<null>;<null>;7141;BINTER TRADE LLC. (Dropship CR);91;Y;125;-- N/A --;101.346;10-12-25;CR #2 CNY Julio 25 ;<null>;3.320;1000001;<null>;PICR6701044;37.804;PICR6701044                   ;N;TO;Y;<null>;N;N;<null>;<null>;CNY;2;<null>;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701122;Ingresada;865;HENAN LORY SANITARY WARE CO.,LTD.;89;Directo CR - FERRETERIA EPA, S.A.;9.028,50;USD;08-08-25;<null>;2;ASTAO513464;23;UETU6904732;FOB  ;FOB  ;FOB  ;04-11-25;04-11-25;15-10-25;10-11-25;Y;26;Y;21-11-25;30-11-25;30-11-25;9;07-01-26;07-02-26;<null>;<null>;6946;BINTER TRADE LLC. (Dropship Cofersa);77;Y;125;-- N/A --;101.162;21-11-25;CR;<null>;4.250;1000001;<null>;LR251115HP;9.028;LR251115HP                    ;N;TO;N;( 20/11/2025 11:11:16 - LEIDY ELIETH CHAVALA : «CARGA SE ROLEO POR SOBRE PESO EN EL VAPOR 30/11/2025» );N;N;<null>;<null>;CNY;2;10-07-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701206;Transito;462;HANGZHOU ANAKO IMPORT AND EXPORT CO.,LTD                   ;82;ZF - OVERSEAS LOGISTICS OPERATIONS;22.127,28;USD;14-08-25;<null>;2;ASXMN503735;22;JXLU6166004;FOB  ;FOB  ;FOB  ;21-11-25;25-11-25;22-09-25;28-11-25;Y;67;Y;10-12-25;22-12-25;10-12-25;0;30-01-26;06-02-26;<null>;<null>;7295;BINTER TRADE LLC. (ZF);108;Y;125;;<null>;<null>;ZF;<null>;3.320;1000001;<null>;ANK202545-1;22.127,28;ANK202545-1                   ;N;TO;N;( 08/12/2025 12:12:04 - LEIDY ELIETH CHAVALA : «CARGA SE ROLEO 15/12/2025» ) ( 17/12/2025 01:12:39 - LEIDY ELIETH CHAVALA : «Se ha modificado el puerto de embarque. De: no tener puerto a: XIAMEN, CHINA» );N;N;<null>;<null>;CNY;8;10-02-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701207;Transito;463;HANGZHOU ANAKO IMPORT AND EXPORT CO.,LTD                   ;82;ZF - OVERSEAS LOGISTICS OPERATIONS;11.660,46;USD;14-08-25;<null>;2;ASXMN503735;22;JXLU6166004;FOB  ;FOB  ;FOB  ;21-11-25;25-11-25;22-09-25;28-11-25;Y;67;Y;10-12-25;22-12-25;10-12-25;0;30-01-26;06-02-26;<null>;<null>;7295;BINTER TRADE LLC. (ZF);108;Y;125;;<null>;<null>;ZF;<null>;<null>;1000001;<null>;ANK202545-2;11.660,46;ANK202545-2                   ;N;<null>;N;( 08/12/2025 12:12:49 - LEIDY ELIETH CHAVALA : «CARGA SE ROLEO 15/12/2025» ) ( 17/12/2025 01:12:48 - LEIDY ELIETH CHAVALA : «Se ha modificado el puerto de embarque. De: no tener puerto a: XIAMEN, CHINA» );N;N;<null>;<null>;CNY;8;10-02-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701296;Ingresada;904;INTCO INTERNATIONAL(HK) CO., LIMITED 2;82;Directo CR - FERRETERIA EPA, S.A.;26.948,92;USD;21-08-25;<null>;2;ASSHA510643;22;MSMU5604550;FOB  ;FOB  ;FOB  ;07-11-25;07-11-25;07-10-25;30-11-25;Y;54;Y;30-11-25;14-12-25;03-12-25;3;15-01-26;07-02-26;<null>;<null>;7156;BINTER TRADE LLC. (Dropship CR);91;Y;125;-- N/A --;101.367;12-12-25;CR;<null>;4.250;1000001;<null>;LAIRA250007;26.948,92;LAIRA250007                   ;N;TO;N;<null>;N;N;<null>;<null>;PEDIDO COMPRA;2;10-07-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701297;Ingresada;904;INTCO INTERNATIONAL(HK) CO., LIMITED 2;82;Directo CR - FERRETERIA EPA, S.A.;26.985,12;USD;21-08-25;<null>;2;ASSHA510646;22;MSMU5779348;FOB  ;FOB  ;FOB  ;07-11-25;07-11-25;07-10-25;28-11-25;Y;52;Y;30-11-25;14-12-25;03-12-25;3;16-01-26;07-02-26;<null>;<null>;7150;BINTER TRADE LLC. (Dropship CR);91;Y;125;-- N/A --;101.358;11-12-25;CR;<null>;4.250;1000001;<null>;LAIRA25008;26.985,12;LAIRA25008                    ;N;TO;N;<null>;N;N;<null>;<null>;PEDIDO COMPRA;2;10-07-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701353;Ingresada;270;HUAIAN CHANGCHENG TEACHING TOOLS LIMITED CO                ;88;Directo CR - FERRETERIA EPA, S.A.;17.712;USD;28-08-25;<null>;2;ASSHA510851;23;FFAU5682307;FOB  ;FOB  ;FOB  ;13-11-25;13-11-25;15-10-25;14-11-25;Y;30;Y;23-11-25;21-12-25;13-12-25;20;23-01-26;07-02-26;<null>;<null>;7207;BINTER TRADE LLC. (Dropship CR);91;Y;125;-- N/A --;101.433;18-12-25;PI2CR;<null>;3.320;1000001;<null>;GW250902B1-1;17.712;GW250902B1-1                  ;N;TO;Y;( 26/11/2025 10:11:38 - LEIDY ELIETH CHAVALA : «CARGA SE ROLEO 07/12/2025» );N;N;<null>;<null>;CNY;2;10-07-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701683;Ingresada;380;QINGDAO YUDING METAL PRODUCTS CO.LTD                       ;85;Directo CR - FERRETERIA EPA, S.A.;20.570,05;USD;11-09-25;<null>;2;HTAO00015747;23;TXGU5407532;FOB  ;FOB  ;FOB  ;03-11-25;03-11-25;15-11-25;15-11-25;Y;0;Y;22-11-25;12-12-25;30-11-25;8;08-01-26;07-02-26;<null>;<null>;7130;BINTER TRADE LLC. (Dropship CR);77;Y;125;-- N/A --;101.335;10-12-25;CR Ago 25 CNY #12;<null>;4.290;1000024;<null>;BAC6701683;20.570,05;BAC6701683                    ;N;TO;Y;( 20/11/2025 10:11:21 - LEIDY ELIETH CHAVALA : «CARGA SE ROLEO 28/11/2025» );N;N;<null>;<null>;CNY;2;29/10/2025;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701684;Ingresada;380;QINGDAO YUDING METAL PRODUCTS CO.LTD                       ;85;Directo CR - FERRETERIA EPA, S.A.;20.570,05;USD;11-09-25;<null>;2;HTAO00015758;23;MSBU5358793;FOB  ;FOB  ;FOB  ;03-11-25;03-11-25;15-11-25;15-11-25;Y;0;Y;21-11-25;12-12-25;30-11-25;9;08-01-26;07-02-26;<null>;<null>;7132;BINTER TRADE LLC. (Dropship CR);77;Y;125;-- N/A --;101.337;10-12-25;CR Ago 25 CNY #13;<null>;4.190;1000024;<null>;BAC6701684;20.570,05;BAC6701684                    ;N;TO;Y;( 20/11/2025 09:11:17 - LEIDY ELIETH CHAVALA : «CARGA SE ROLEO 28/11/2025» );N;N;<null>;<null>;CNY;2;29/10/2025;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
6701758;Transito;903;Fuzhou Knobby Technology Co.,LTD;85;ZF - OVERSEAS LOGISTICS OPERATIONS;29.145,12;USD;22-09-25;<null>;2;ASXMN503677;23;FFAU1145070;FOB  ;FOB  ;FOB  ;21-11-25;25-11-25;25-11-25;24-11-25;Y;-1;Y;30-11-25;07-12-25;01-12-25;1;07-01-26;07-02-26;<null>;<null>;7245;BINTER TRADE LLC. (ZF);36;Y;125;;<null>;<null>;Pedido ZF CR Ago 25 ;<null>;4.715;1000001;<null>;ED2025-7739;29.145,12;ED2025-7739                   ;N;TO;N;( 03/12/2025 10:12:28 - LEIDY ELIETH CHAVALA : «Se ha modificado el puerto de arribo. De: no tener puerto a: CALDERA, COSTA RICA» );Y;N;<null>;<null>;CNY;2;11-11-25;14;0;EPA;<null>;<null>;<null>;<null>;<null>;<null>;OLO3
