Region;Paises;PaisOrigenISO;Destino;PaisDestinoISO;Dias de tiempo de transito;Dias de puerto
America;MÉXICO;MX;CR;CR;14;12
America;MÉXICO;MX;SV;SV;12;12
America;MÉXICO;MX;GT;GT;12;12
America;MÉXICO;MX;VZLA;VE;30;12
America;MÉXICO;MX;Colombia;CO;25;14
America;PANAMA;PA;CR;CR;2;12
America;PANAMA;PA;SV;SV;4;12
America;PANAMA;PA;GT;GT;5;12
America;PANAMA;PA;VZLA;VE;10;12
America;PANAMA;PA;Colombia;CO;2;14
America;GUATEMALA;GT;Colombia;CO;18;14
America;GUATEMALA;GT;CR;CR;10;12
America;GUATEMALA;GT;SV;SV;2;12
America;GUATEMALA;GT;GT;GT;0;12
America;GUATEMALA;GT;VZLA;VE;25;12
America;COLOMBIA;CO;Colombia;CO;0;12
America;COLOMBIA;CO;CR;CR;10;10
America;COLOMBIA;CO;SV;SV;15;10
America;COLOMBIA;CO;GT;GT;12;10
America;COLOMBIA;CO;VZLA;VE;5;12
America;BRAZIL;BR;Colombia;CO;25;12
America;BRAZIL;BR;CR;CR;25;10
America;BRAZIL;BR;SV;SV;25;10
America;BRAZIL;BR;GT;GT;25;10
America;BRAZIL;BR;VZLA;VE;20;12
America;COSTA RICA;CR;Colombia;CO;12;14
America;COSTA RICA;CR;CR;CR;0;12
America;COSTA RICA;CR;SV;SV;12;12
America;COSTA RICA;CR;GT;GT;12;12
America;COSTA RICA;CR;VZLA;VE;15;12
America;CANADA;CA;Colombia;CO;25;14
America;CANADA;CA;CR;CR;18;12
America;CANADA;CA;SV;SV;28;12
America;CANADA;CA;GT;GT;25;12
America;CANADA;CA;VZLA;VE;25;12
America;UNITED STATES;US;Colombia;CO;5;14
America;UNITED STATES;US;CR;CR;10;12
America;UNITED STATES;US;SV;SV;10;12
America;UNITED STATES;US;GT;GT;10;12
America;UNITED STATES;US;VZLA;VE;12;12
America;UNITED STATES;US;Peru;PE;20;
America;UNITED STATES;US;Argentina;AR;30;
America;UNITED STATES;US;Republica Dominicana;DO;8;
America;UNITED STATES;US;Chile;CL;30;
America;UNITED STATES;US;Ecuador;EC;20;
America;CHILE;CL;Colombia;CO;20;12
America;CHILE;CL;CR;CR;25;10
America;CHILE;CL;SV;SV;28;10
America;CHILE;CL;GT;GT;28;10
