ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;EMISION_DATE_PO;ROUTE_LABEL;TOTAL_AMOUNT;CURRENCY;CATEGORY;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DEPARTURE_PORT_ID;ARRIVAL_PORT_ID;DATE_THEORICAL_LOAD;DATE_CARGA_PO;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;INVOICE;INVOICE_AMOUNT;APPLY_TECHNICAL_NOTE;APPLIES_TLC;REASON;CUSTOMER_TYPE;TRADING_COMPANY;Estado o Etapa;Contenedor;Naviera;Tipo de contenedor;Documento de transito;Solicitud de booking;Autorizacion de booking;Fecha de asignacion de agente de carga;ETD inicial;ETD variable;ATD;ETA Inicial;ETA Variable;ATA;Monto de flete;Factura de flete;Tipo de tarifa;Proveedor de servicio;Ingreso a AF;Salida de Almacen fiscal;Usa Almacen fiscal
1103956;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;116815,91;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21040;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-23;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103957;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;58932,02;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21041;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-24;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103958;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;64371,82;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21042;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-25;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103959;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;39393,89;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21043;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-26;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103960;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;45090,87;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21044;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-27;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103961;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;52315,15;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21045;<null>;<null>;true;true;CNY;EPA;OLO1;Booking;735-28;MSC;Contenedor 40 HC;0;09-03-26;09-03-26;04/03/2026;31-03-26;31-03-26;;;;;5085;0;0;AIR SEA WORLDWIDE;0;0;N
1103962;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;61729,27;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21046;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-29;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103963;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo CR - FERRETERIA EPA, S.A.;84764,23;USD;<null>;FOB  ;FOB  ;FOB  ;66;125;2026-03-01;2026-03-01;<null>;HARMONY (Dropship CR);<null>;<null>;<null>;21047;<null>;<null>;true;true;CNY;EPA;OLO1;Produccion;735-30;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103964;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;ZF - OVERSEAS LOGISTICS OPERATIONS;41267,48;USD;<null>;FOB  ;DAP  ;DAP  ;66;122;2026-03-01;2026-03-01;<null>;HARMONY (ZF);<null>;<null>;<null>;21048;<null>;<null>;true;false;CNY;EPA;OLO1;Produccion;735-31;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103965;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;ZF - OVERSEAS LOGISTICS OPERATIONS;53152,13;USD;<null>;FOB  ;<null>;<null>;66;122;2026-03-01;2026-03-01;<null>;HARMONY (ZF);<null>;<null>;<null>;21049;<null>;<null>;true;false;CNY;EPA;OLO1;Produccion;735-32;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103966;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;ZF - OVERSEAS LOGISTICS OPERATIONS;45484,57;USD;<null>;FOB  ;DAP  ;DAP  ;66;122;2026-03-01;2026-03-01;<null>;HARMONY (ZF);<null>;<null>;<null>;21050;<null>;<null>;true;false;CNY;EPA;OLO1;Produccion;735-33;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103967;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;ZF - OVERSEAS LOGISTICS OPERATIONS;27030,71;USD;<null>;FOB  ;DAP  ;DAP  ;66;122;2026-03-01;2026-03-01;<null>;HARMONY (ZF);<null>;<null>;<null>;21051;<null>;<null>;true;false;CNY;EPA;OLO1;Produccion;735-34;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;AIR SEA WORLDWIDE;0;0;N
1103968;9;LUMICENTRO INTERNACIONAL, INC                              ;71;2025-12-11;Directo GT - FERRETERIA EPA, S.A. (Guatemala);49736,10;USD;<null>;FOB  ;FOB  ;FOB  ;66;127;2026-03-01;2026-03-01;<null>;HARMONY (Dropship GT);<null>;<null>;<null>;21052;<null>;<null>;true;false;CNY;EPA;OLO1;Produccion;735-35;0;Contenedor 40 HC;0;;;04/03/2026;;;;;;;0;0;0;SPARX;0;0;N
