ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;ROUTE_LABEL;NET_TOTAL;CURRENCY;EMISION_DATE_PO;CATEGORY;MODE;MBL_NUMBER;CONTAINER_TYPE;CONTAINER_NUMBER;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DATE_BOOKING_REQUEST;DATE_BOOKING_AUTHORIZED;DATE_CARGA_PO;DATE_THEORICAL_LOAD;CARGA_LISTA_VALIDADA;DIF_LOAD_DATE;ETD_INITIAL_VALIDATED;DATE_ETD_INITIAL;DATE_ETD_UPDATED;DATE_ETD;ETD_DATES_DIFFERENCE;ETA_INICIAL;DATE_ETA_UPDATED;DATE_ETA;ETA_DATES_DIFFERENCE;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;DEPARTURE_PORT;PORT_OF_LOADING_VALIDATED;ARRIVAL_PORT;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;CARGO_INVOICE_NUMBER;FREIGHT_AMOUNT;SERVICE_PROVIDER;CBM;INVOICE;INVOICE_AMOUNT;FACTURA_MERCA;HAS_FACTURE_MERCA;VISIBILITY_NOTES;APPLIES_TLC;COMMENTS;APPLY_TECHNICAL_NOTE;APPLIES_AF;BONDED_WAREHOUSE_ENTER;BONDED_WAREHOUSE_EXIT;REASON;SHIPPING_LINE;FORWADER_DATE;CONTAINER_FREE_DAYS;TARIFF_TYPE;CUSTOMER_TYPE;TRADING_COMPANY;company_id;status;total_amount;ensurence_type;bill_to_id;kanban_status_id;ship_to_id
1103166;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo CR - FERRETERIA EPA, S.A.;55,469.67;USD;04-09-24;;2;ASNGB414315;3;CMAU3404084;FOB  ;FOB  ;FOB  ;02-01-25;02-01-25;27-12-24;10-01-25;Y;14;Y;16-01-25;18-01-25;18-01-25;2;17-03-25;07-04-25;30-03-25;13;4483;HARMONY (Dropship CR);71;Y;125;-- N/A --;6,864;20-02-25;PI3CR;;6,625;1000001;;177477;55,469.67;177477;N;TO;Y;( 11/02/2025 11:02:25 - MIGUEL SANDOVAL: «ETA 05-04-2025» ) ( 07/03/2025 01:03:28 - FIORELA AVALOS: «NUEVO  ETA 18/04/2025» ) ( 02/04/2025 04:04:03 - FIORELA AVALOS: «ETA VARIABLE 07/04» );N;N;;;MIXTO;5;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103167;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo CR - FERRETERIA EPA, S.A.;56,926.61;USD;04-09-24;;2;ASNGB500852;3;SEKU5668070;FOB  ;FOB  ;FOB  ;11-02-25;12-02-25;21-02-25;24-02-25;Y;3;Y;07-03-25;07-03-25;06-03-25;-1;06-05-25;16-05-25;16-05-25;10;4538;HARMONY (Dropship CR);71;Y;125;-- N/A --;6,906;20-03-25;PI4CR;;5,51;1000001;;177478;56,926.61;177478;N;TO;Y;( 18/03/2025 06:03:14 - MIGUEL SANDOVAL: «26-05-2025 ETA» ) ( 09/05/2025 09:05:58 - FIORELA AVALOS: «ETA VARIABLE 14/05» ) ( 16/05/2025 02:05:58 - FIORELA AVALOS: «ETA VARIABLE 16/05» );N;N;;;MIXTO;5;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103169;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo SV - FERRETERIA EPA, S.A. DE C.V.;52,974.88;USD;04-09-24;;2;ASNGB414314;3;TGHU6892133;FOB  ;FOB  ;FOB  ;02-01-25;02-01-25;27-12-24;10-01-25;Y;14;Y;23-01-25;13-02-25;16-02-25;24;10-04-25;25-04-25;09-04-25;-1;4481;HARMONY (Dropship SV);71;Y;122;-- N/A --;6,843;13-02-25;PI6SV;;6,535;1000001;;177480;52,974.88;177480;N;TO;N;( 07/01/2025 01:01:16 - MIGUEL SANDOVAL: «Se ha modificado el puerto de arribo. De: no tener puerto a: ACAJUTLA, EL SALVADOR» ) ( 11/02/2025 11:02:47 - MIGUEL SANDOVAL: «NOTAR NUEVO ETD AL 13-02, DEBIDO A OMISIONES DE PUERTOS Y MALA INFORMACIÓN EN LA WEB, DEBIDO AL CNY. POR ESE MOTIVO SE ENVIÓ SALIDA ANTERIORMENTE.» ) ( 27/03/2025 05:03:07 - MIGUEL SANDOVAL: «ETA 22-04-2025» ) ( 02/04/2025 04:04:32 - FIORELA AVALOS: «ETA VARIABLE 25/04» );N;N;;;MIXTO;5;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103171;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo GT - FERRETERIA EPA, S.A. (Guatemala);52,552.32;USD;04-09-24;;2;ASNGB414318;3;CMAU3657992;FOB  ;FOB  ;FOB  ;02-01-25;02-01-25;27-12-24;10-01-25;Y;14;Y;23-01-25;15-02-25;16-02-25;24;01-05-25;20-04-25;20-04-25;-11;4493;HARMONY (Dropship GT);71;Y;127;-- N/A --;6,854;18-02-25;PI8GT;;5,89;1000001;;177482;52,552.32;177482;N;TO;N;( 07/01/2025 01:01:03 - MIGUEL SANDOVAL: «Se ha modificado el puerto de arribo. De: no tener puerto a: QUETZAL, GUATEMALA» ) ( 19/02/2025 04:02:16 - MIGUEL SANDOVAL: «VALIDANDO ETA» ) ( 27/03/2025 12:03:55 - FIORELA AVALOS: «NUEVO ETA 07/04/2025» ) ( 02/04/2025 04:04:25 - FIORELA AVALOS: «ETA VARIABLE 14/04» ) ( 10/04/2025 01:04:18 - FIORELA AVALOS: «ETA VARIABLE 20/04» );N;N;;;MIXTO;5;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103174;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo VE - FERRETERIA EPA, C.A.;51,075.07;USD;04-09-24;;2;SHPBL25001439;3;ECMU7466277;FOB  ;CIF  ;FOB  ;02-01-25;02-01-25;27-12-24;10-01-25;Y;14;Y;31-01-25;31-01-25;31-01-25;0;14-04-25;22-03-25;24-03-25;-21;4518;Harmony (Drop Ship EPA VE);71;Y;116;-- N/A --;6,885;10-03-25;PI11VE;IOLFT25-041;6,55;1000022;;177485;51,075.07;177485;N;TO;N;( 25/02/2025 08:02:45 - MIGUEL SANDOVAL: «Se ha modificado el puerto de arribo. De: no tener puerto a: PUERTO CABELLO, VENEZUELA» ) ( 10/03/2025 03:03:50 - FIORELA AVALOS: «ETA VARIABLE 16/03» ) ( 13/03/2025 11:03:20 - FIORELA AVALOS: «NUEVO ETA 18/03/2025» ) ( 20/03/2025 11:03:12 - FIORELA AVALOS: «ETA VARIABLE 22/03» );N;N;;;CNY;5;;14;1;EPA;OLO1;1;draft;0;pending;1;1;1
1103175;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo VE - FERRETERIA EPA, C.A.;53,445.07;USD;04-09-24;;2;SHPBL25003087;3;MRKU4378712;FOB  ;CIF  ;FOB  ;13-02-25;14-02-25;21-02-25;21-02-25;Y;0;Y;11-03-25;15-03-25;15-03-25;4;20-05-25;23-04-25;29-04-25;-21;4576;Harmony (Drop Ship EPA VE);71;Y;116;-- N/A --;6,943;16-04-25;PI12VE;IOLFT25-115;5,1;1000022;;177486;53,445.07;177486;N;TO;N;( 15/04/2025 04:04:38 - MIGUEL SANDOVAL: «Se ha modificado el puerto de arribo. De: no tener puerto a: PUERTO CABELLO, VENEZUELA» ) ( 15/04/2025 04:04:55 - MIGUEL SANDOVAL: «ETA 23-04» );N;N;;;CNY;1;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103220;29;LUMICENTRO INTERNACIONAL, INC ;71;Directo CR - FERRETERIA EPA, S.A.;45,949;USD;01-10-24;;2;ASSZX501264;3;CMAU3427623;FOB  ;FOB  ;FOB  ;12-02-25;12-02-25;28-11-24;14-02-25;Y;78;Y;23-02-25;22-02-25;22-02-25;-1;24-05-25;16-05-25;16-05-25;-8;4508;HARMONY (Dropship CR);92;Y;125;-- N/A --;6,874;03-03-25;ARR015;;6,34;1000001;;15362;45,949;15362;N;TO;Y;( 28/02/2025 02:02:27 - MIGUEL SANDOVAL: «Se ha modificado el puerto de embarque. De: no tener puerto a: SHEKOU, CHINA» ) ( 09/05/2025 09:05:31 - FIORELA AVALOS: «ETA VARIABLE 14/05» ) ( 16/05/2025 02:05:36 - FIORELA AVALOS: «ETA VARIABLE 16/05» );Y;N;;;PEDIDO COMPRA;5;28-01-25;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103221;29;LUMICENTRO INTERNACIONAL, INC ;71;Directo CR - FERRETERIA EPA, S.A.;79,758.07;USD;01-10-24;;2;ASSZX501296;3;TCNU5617578;FOB  ;FOB  ;FOB  ;12-02-25;12-02-25;28-11-24;10-02-25;Y;74;Y;03-03-25;02-03-25;24-02-25;-7;29-04-25;16-05-25;16-05-25;17;4539;HARMONY (Dropship CR);47;Y;125;-- N/A --;6,913;20-03-25;ARR016;;6,735;1000001;;15372;79,758.07;15372;N;TO;Y;( 18/03/2025 06:03:21 - MIGUEL SANDOVAL: «ETA 26-05» ) ( 25/03/2025 09:03:35 - MIGUEL SANDOVAL: «ETA AJUSTADO 22-06, REVISANDO URGENTE» ) ( 16/05/2025 02:05:35 - FIORELA AVALOS: «ETA VARIABLE 16/05» );Y;N;;;MIXTO;5;28-01-25;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103222;29;LUMICENTRO INTERNACIONAL, INC ;71;Directo SV - FERRETERIA EPA, S.A. DE C.V.;63,963.51;USD;01-10-24;;2;ASSZX501297;3;CMAU6592283;FOB  ;FOB  ;FOB  ;14-02-25;14-02-25;28-11-24;14-02-25;Y;78;Y;03-03-25;02-03-25;02-03-25;-1;07-05-25;02-05-25;01-05-25;-6;4549;HARMONY (Dropship SV);47;Y;122;-- N/A --;6,946;21-04-25;ARR017;;6,365;1000001;;15376;63,963.51;15376;N;TO;N;( 24/03/2025 05:03:08 - MIGUEL SANDOVAL: «Se ha modificado el puerto de arribo. De: no tener puerto a: ACAJUTLA, EL SALVADOR» ) ( 24/03/2025 05:03:02 - MIGUEL SANDOVAL: «ETA 25-04-2025» ) ( 02/04/2025 04:04:15 - FIORELA AVALOS: «ETA VARIABLE 02/05» );Y;N;;;MIXTO;5;28-01-25;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103224;202;WORKSITE TOOL LIMITED                                      ;76;Directo SV - FERRETERIA EPA, S.A. DE C.V.;85,386.78;USD;24-10-24;;2;ASSHA413691;3;CMAU8663149;FOB  ;FOB  ;FOB  ;02-01-25;02-01-25;30-11-24;09-01-25;Y;40;Y;18-01-25;20-01-25;20-01-25;2;22-03-25;25-04-25;09-04-25;18;4484;HARMONY (Dropship SV);91;Y;122;-- N/A --;6,868;25-02-25;September Order I;;6,815;1000001;;S25WST-EPA001;85,386.78;S25WST-EPA001                 ;N;TO;N;( 24/03/2025 05:03:01 - MIGUEL SANDOVAL: «ETA 16-04» ) ( 02/04/2025 04:04:42 - FIORELA AVALOS: «ETA VARIABLE 25/04» );N;N;;;PEDIDO COMPRA;5;27-12-24;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
