ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;ROUTE_LABEL;NET_TOTAL;CURRENCY;EMISION_DATE_PO;CATEGORY;MODE;MBL_NUMBER;CONTAINER_TYPE;CONTAINER_NUMBER;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DATE_BOOKING_REQUEST;DATE_BOOKING_AUTHORIZED;DATE_CARGA_PO;DATE_THEORICAL_LOAD;CARGA_LISTA_VALIDADA;DIF_LOAD_DATE;ETD_INITIAL_VALIDATED;DATE_ETD_INITIAL;DATE_ETD_UPDATED;DATE_ETD;ETD_DATES_DIFFERENCE;ETA_INICIAL;DATE_ETA_UPDATED;DATE_ETA;ETA_DATES_DIFFERENCE;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;DEPARTURE_PORT;PORT_OF_LOADING_VALIDATED;ARRIVAL_PORT;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;CARGO_INVOICE_NUMBER;FREIGHT_AMOUNT;SERVICE_PROVIDER;CBM;INVOICE;INVOICE_AMOUNT;FACTURA_MERCA;HAS_FACTURE_MERCA;VISIBILITY_NOTES;APPLIES_TLC;COMMENTS;APPLY_TECHNICAL_NOTE;APPLIES_AF;BONDED_WAREHOUSE_ENTER;BONDED_WAREHOUSE_EXIT;REASON;SHIPPING_LINE;FORWADER_DATE;CONTAINER_FREE_DAYS;TARIFF_TYPE;CUSTOMER_TYPE;TRADING_COMPANY;company_id;status;total_amount;ensurence_type;bill_to_id;kanban_status_id;ship_to_id
1102250;85;BESTWAY ENTERPRISE COMPANY LIMITED                         ;78;Directo GT - FERRETERIA EPA, S.A. (Guatemala);59,615.6;USD;2023-01-05;;2;DT22120294;3;YMLU8632907;FOB  ;FOB  ;FOB  ;2022-12-07;2022-12-07;2023-01-06;2022-12-06;Y;-31;Y;2022-12-12;2022-12-12;2022-12-21;9;2023-01-25;2023-01-25;2023-01-25;0;3601;HARMONY (Dropship GT);91;Y;127;-- N/A --;5,847;2023-01-10;PO de uso interno, s;;2,860;1000006;;2022MHK-23691-;59,615.6;2022MHK-23691/2022MHK-23692   ;N;TF / tarifa OK / 12 dias;N;;Y;N;;;C/ FACTURA;;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102251;85;BESTWAY ENTERPRISE COMPANY LIMITED                         ;78;Directo GT - FERRETERIA EPA, S.A. (Guatemala);70,925.78;USD;2023-01-05;;2;DT22120223;3;SEGU6735429;FOB  ;FOB  ;FOB  ;2022-12-07;2022-12-07;2023-01-06;2022-12-15;Y;-22;Y;2022-12-19;2022-12-19;2022-12-21;2;2023-01-25;2023-01-25;2023-01-25;0;3602;HARMONY (Dropship GT);91;Y;127;-- N/A --;5,848;2023-01-10;PO de uso interno, s;;2,860;1000006;;2022MHK-23692-;70,925.78;2022MHK-23691/2022MHK-23692   ;N;TF / tarifa OK;N;;Y;N;;;C/ FACTURA;;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102252;191;DISTRIVALTO USA INC                                        ;74;Directo VE - FERRETERIA EPA, C.A.;32,954.88;USD;2023-01-10;;2;YJPBL2301759;3;MSKU6527186;FOB  ;CIF  ;FOB  ;2023-01-31;2023-02-01;2023-02-10;2023-02-10;Y;0;Y;2023-02-13;2023-02-13;2023-02-13;0;2023-04-17;2023-04-18;2023-04-18;1;3639;Harmony (Drop Ship EPA VE);92;Y;157;-- N/A --;5,883;2023-02-17;1078301-VE;IOLFT23-053;6,250;1000022;40.84;42200;32,954.88;42200                         ;N;TF / Tarifa ok;N;( 01/02/2023 01:02:13 - KEREN MORA: «Se ha modificado el puerto de embarque. De: no tener puerto a: SHEKOU, CHINA» ) ( 01/02/2023 01:02:14 - KEREN MORA: «Se ha modificado el puerto de arribo. De: no tener puerto a: LA GUAIRA, VENEZUELA» ) ( 14/02/2023 07:02:28 - KEREN MORA: «Se ha modificado el puerto de arribo. De: no tener puerto a: CABELLO, VENEZUELA» );N;N;;;PEDIDO COMPRA;1;;0;;EPA;OLO1;1;draft;0;pending;1;1;1
1102253;169;JASCO PRODUCTS COMPANY                                     ;72;Directo VE - FERRETERIA EPA, C.A.;8,612.32;USD;2023-01-10;;2;NA;3;02022023BR;FCA  ;FCA  ;FCA  ;2023-02-01;2023-02-01;2023-01-23;2023-01-19;Y;-4;Y;2023-02-02;2023-02-02;2023-02-02;0;2023-02-04;2023-02-04;2023-02-04;0;3622;INTERPORT (VE);64;Y;116;-- N/A --;5,867;2023-02-09;Pedido VZ Ene 2023;;;1000010;;7411717;8,612.32;7411717                       ;N;;N;( 01/02/2023 02:02:42 - KEREN MORA: «Se ha modificado el puerto de arribo. De: no tener puerto a: MIAMI INTERPORT, UNITED STATES» ) ( 10/05/2023 07:05:44 - LUIS DIEGO FLORES: «Se ha modificado el puerto de arribo. De: MIAMI INTERPORT, UNITED STATES a: PUERTO CABELLO, VENEZUELA. Tiquete 6842.» );N;N;;;PEDIDO COMPRA;;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102254;114;COMERCIAL DE HERRAMIENTAS DE GUATEMALA;76;Directo VE - FERRETERIA EPA, C.A.;68,417.09;USD;2023-01-18;;2;1050966357;3;CAIU4264132;FOB  ;CIF  ;FOB  ;2023-01-26;2023-01-26;2023-02-11;2023-02-08;Y;-3;Y;2023-02-12;2023-02-08;2023-02-08;-4;2023-03-06;2023-03-06;2023-03-23;17;3630;Harmony (Drop Ship EPA VE);137;Y;116;-- N/A --;5,877;2023-02-15;Pedido Enero;;7,684.5;1000011;;3246015083, 411061917, 956712492;68,417.09;956712492/5083/61917          ;N;TF / Tarifa OK / 12 dias;N;;Y;N;;;PEDIDO COMPRA;6;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102255;178;MATERIALES ELECTRICOS AGUILA DE LATINOAM                   ;72;Directo VE - FERRETERIA EPA, C.A.;21,099.09;USD;2023-01-13;;2;EM02-0631-2023/00;1;CMAU2047505;FOB  ;CIF  ;FCA  ;2023-02-06;2023-02-06;2023-02-10;2023-01-31;Y;-10;Y;2023-02-09;2023-02-09;2023-02-09;0;2023-02-26;2023-02-26;2023-02-26;0;3627;Harmony (Drop Ship EPA VE);117;Y;116;-- N/A --;5,868;2023-02-09;6122;;;1000022;6.05;00100001040000000287;21,099.09;287                           ;N;;N;( 07/02/2023 09:02:12 - KEREN MORA: «Se ha modificado el puerto de embarque. De: no tener puerto a: LIMON, COSTA RICA» );Y;N;;;PEDIDO COMPRA;5;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102256;178;MATERIALES ELECTRICOS AGUILA DE LATINOAM                   ;72;Directo VE - FERRETERIA EPA, C.A.;11,286.87;USD;2023-01-13;;2;EM02-0631-2023/00;1;CMAU2047505;FOB  ;CIF  ;FCA  ;2023-02-06;2023-02-06;2023-02-10;2023-01-31;Y;-10;Y;2023-02-09;2023-02-09;2023-02-09;0;2023-02-26;2023-02-26;2023-02-26;0;3627;Harmony (Drop Ship EPA VE);117;Y;116;-- N/A --;5,869;2023-02-09;6118;;;1000022;10.24;00100001040000000277;11,286.87;277                           ;N;;N;( 07/02/2023 09:02:50 - KEREN MORA: «Se ha modificado el puerto de embarque. De: no tener puerto a: LIMON, COSTA RICA» );Y;N;;;PEDIDO COMPRA;5;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102257;127;NINGBO WAHFAY INDUSTRIAL CO., LTD.                         ;73;Directo CR - FERRETERIA EPA, S.A.;23,649.16;USD;2023-01-26;;2;ASNGB304690;2;MRKU0566774;FOB  ;FOB  ;FOB  ;2023-06-21;2023-06-21;2023-07-01;2023-06-21;Y;-10;Y;2023-07-04;2023-07-04;2023-07-05;1;2023-08-09;2023-08-09;2023-08-09;0;3720;HARMONY (Dropship CR);71;Y;125;-- N/A --;5,969;2023-07-10;CR 1 ;;3,415;1000001;;23WS5093;23,649.16;23WS5093                      ;N;TN / Tarifa Ok / 14 dias;Y;;Y;N;;;PEDIDO COMPRA;1;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102258;127;NINGBO WAHFAY INDUSTRIAL CO., LTD.                         ;73;Directo CR - FERRETERIA EPA, S.A.;22,869.44;USD;2023-01-26;;2;ASNGB304694;2;MRKU1071677;FOB  ;FOB  ;FOB  ;2023-06-21;2023-06-21;2023-07-01;2023-06-21;Y;-10;Y;2023-07-04;2023-07-04;2023-07-06;2;2023-08-09;2023-08-09;2023-08-10;1;3721;HARMONY (Dropship CR);71;Y;125;-- N/A --;5,970;2023-07-11;CR 2;;3,415;1000001;;23WS5094;22,869.44;23WS5094                      ;N;TN / Tarifa OK / 14 dias / EPA - Cofersa / Flete a EPA 94%;Y;;Y;N;;;PEDIDO COMPRA;1;;;;EPA;OLO1;1;draft;0;pending;1;1;1
1102259;127;NINGBO WAHFAY INDUSTRIAL CO., LTD.                         ;73;Directo CR - CONSORCIO FERRETERO DE SAN JOSE, S.A.;1,470.2;USD;2023-01-26;;2;ASNGB304692;2;MRKU1071677;FOB  ;FOB  ;;2023-06-21;2023-06-21;2023-07-01;2023-06-21;Y;-10;Y;2023-07-04;2023-07-04;2023-07-06;2;2023-08-09;2023-08-09;2023-08-10;1;3723;Harmony (Drop Ship COFERSA);71;Y;125;-- N/A --;5,981;2023-07-12;COFERSA;;;1000001;;23WS5095;1,470.2;23WS5095                      ;N;EPA - Cofersa, flete de Cofersa 6%;Y;;N;N;;;PEDIDO COMPRA;1;;;;EPA;OLO1;1;draft;0;pending;1;1;1
