Tipo contenedor	Puertos	Proveedor de servicio	Naviera	Tipo Tarifa	Tipo transporte
Contenedor 20ft	ACAJUTLA, EL SALVADOR	ECONOCARIBE	MAERSK	NAC	AEREO
Contenedor 40 HC	ALTAMIRA, MÉXICO	AIR SEA WORLDWIDE	ONE	FAK	MARITIMO
Contenedor 40ft	AMATILLO, HONDURAS	ANULADA	MSC	Premium	TERRESTRE
Contenedor 45 HC	ANCONA, ITALY	CAMSA	ZIM		
Contenedor 45ft	ANTWERP, BELGIUM	CIP	CMA CGM		
Contenedor 53ft	ATLANTA, UNITED STATES	CSAV	HAPAG LLOYD		
FTL	BANGKOK, THAILAND	DEFINIDO POR EL PROVEEDOR	WAN HAI		
LCL	BARCELONA, SPAIN	DHL	COSCO		
Plataforma 20ft	BARRANQUILLA, COLOMBIA	DROPSHIP COLON	EVERGREEN		
Plataforma 40ft	BARRIOS, GUATEMALA	ILG LOGISTICS	OOCL		
	BAVARIA, GERMANY	INTERPORT	SEALAND		
	BILBAO, SPAIN	KUEHNE NAGEL	HAPPAG		
	BOGOTÁ, COLOMBIA	LONG SAIL SHIPPING	HSUD		
	BOSTON, UNITED STATES	MAERSK	PRUEBA		
	BREMERHAVEN, GERMANY	MSC MEDITERRANEAN	COSIARMA		
	BROOKLYN, UNITED STATES	UNIK	ZIM LINES		
	BUENAVENTURA, COLOMBIA	EXPEDITORS	PIL		
	BUSAN, KOREA	HAMBURG SUD	VASI		
	PUERTO CABELLO, VENEZUELA	EVERGREEN			
	CALDERA, COSTA RICA	HAPPAG LLOYD			
	CALIFORNIA, UNITED STATES	SHIPLILLY			
	CARTAGENA, COLOMBIA	CEVA			
	CASTELLON, SPAIN	IN OCEAN			
	CIUDAD HIDALGO, MÉXICO	SERVICA			
	CHARLESTON, UNITED STATES	TRANSTAINER			
	CHIWAN, CHINA	SPARX			
	CHONGQING, CHINA	MASTERLINE			
	COCHIN, INDIA	NEXO LOGISTICS			
	COLON, PANAMA	FLOVA LOGISTICA			
	CRANBURY, UNITED STATES	PANALPINA			
