"Nombre Frontend","Tabla","Nombre BD (Campo)","Tipo de Dato","Obligatorio"
"company_id","purchase_orders","company_id","ID Numérico","Sí"
"Número de Orden (PO)","purchase_orders","order_number","Texto","Sí"
"Fecha emisión PO","purchase_orders","emision_date_po","Fecha","No"
"Fecha de creación en RAGA","purchase_orders","order_date","Fecha","No"
"Moneda","purchase_orders","currency","Texto (3)","No"
"Incoterm Precios","purchase_orders","price_incoterm","Texto","No"
"Incoterm de Compra","purchase_orders","incoterms","Texto","No"
"Incoterm logístico","purchase_orders","logistics_incoterm","Texto","No"
"Categoría","purchase_orders","category","Texto","No"
"Motivo","purchase_orders","reason","Texto","No"
"Puerto de Embarque","purchase_orders","departure_port","Texto","No"
"Puerto de Arribo","purchase_orders","arrival_port","Texto","No"
"Línea Naviera","purchase_orders","shipping_line","Texto","No"
"Tipo de Contenedor","purchase_orders","container_type","Texto","No"
"Número de Contenedor","purchase_orders","container_number","Texto","No"
"MBL Number","purchase_orders","mbl_number","Texto","No"
"Proforma de Fábrica","purchase_orders","factory_proforma_number","Texto","No"
"Seleccionar Nombre del Proveedor","purchase_orders","vendor_id","ID Numérico","Sí"
"Número de Proveedor","purchase_orders","vendor_number","Texto","No"
"CBM (m³)","purchase_orders","cbm","Decimal","No"
"Peso (kg)","purchase_orders","peso_kg","Decimal","No"
"Peso (lb)","purchase_orders","peso_lb","Decimal","No"
"Solicitud de Booking","purchase_orders","date_booking_request","Fecha","No"
"Autorización Booking","purchase_orders","date_booking_authorized","Fecha","No"
"Fecha de asignación de agente de carga","purchase_orders","forwader_date","Fecha","No"
"Fecha Inspección","purchase_orders","inspection_date","Fecha","No"
"Fecha Corte VGM","purchase_orders","vgm_cut_date","Fecha","No"
"Fecha Carga Lista Teórica","purchase_orders","date_theorical_load","Fecha","No"
"Fecha Carga Lista Variable","purchase_orders","date_variable_date","Fecha","No"
"Fecha Carga Lista Real","purchase_orders","date_carga_po","Fecha","No"
"Fecha de consolidado","purchase_orders","date_consolidation","Fecha","No"
"Fecha de release","purchase_orders","release_date","Fecha","No"
"Diferencia de fecha de carga lista","purchase_orders","dif_load_date","Entero","No"
"Nombre del Consolidador","purchase_orders","consolidator_name","Texto","No"
"ETD Inicial","purchase_orders","date_etd_initial","Fecha","No"
"ETD","purchase_orders","date_etd","Fecha","No"
"ATD","purchase_orders","date_atd","Fecha","No"
"ETD actualizada","purchase_orders","date_etd_updated","Fecha","No"
"ETA","purchase_orders","date_eta","Fecha","No"
"ETA actualizada","purchase_orders","date_eta_updated","Fecha","No"
"Ingreso Almacén Fiscal","purchase_orders","bonded_warehouse_enter","Fecha","No"
"Salida Almacén Fiscal","purchase_orders","bonded_warehouse_exit","Fecha","No"
"Fecha Nota de Recibo","purchase_orders","receipt_note_date","Fecha","No"
"Fecha Disp. Bogeda Estimada","purchase_orders","estimated_dc_availability_date","Fecha","No"
"Fecha Pago Balance","purchase_orders","balance_payment_date","Fecha","No"
"Fecha Pago Cargos Locales","purchase_orders","local_charges_payment_date","Fecha","No"
"Días Libres Contenedor","purchase_orders","container_free_days","Entero","No"
"Dif Fechas ETD (días)","purchase_orders","etd_dates_difference","Entero","(Automático)"
"Dif Fechas ETA (días)","purchase_orders","eta_dates_difference","Entero","(Automático)"
"Tipo de Transporte","purchase_orders","mode","Texto","No"
"Número de Booking","purchase_orders","tracking_id","Texto","No"
"Aplica TLC","purchase_orders","applies_tlc","Booleano","No"
"Aplica AF","purchase_orders","applies_af","Booleano","No"
"Tiene Factura Mercancía","purchase_orders","has_facture_merca","Booleano","No"
"Tarifa Utilizada OK","purchase_orders","used_rate_ok","Booleano","No"
"Usa Almacén Fiscal","purchase_orders","uses_bonded_warehouse","Booleano","No"
"Aplica Nota Técnica","purchase_orders","apply_technical_note","Booleano","No"
"ETD Inicial Validada","purchase_orders","etd_initial_validated","Booleano","No"
"Puerto de Embarque Validado","purchase_orders","port_of_loading_validated","Booleano","No"
"Cantidad estimada de pallets","purchase_orders","pallet_quantity","Entero","No"
"Cantidad Real de Pallets","purchase_orders","pallet_quantity_real","Entero","No"
"Monto Factura","purchase_orders","Invoice_amount","Decimal","No"
"Monto Flete","purchase_orders","freight_amount","Decimal","No"
"Otros Gastos","purchase_orders","other_expenses","Decimal","No"
"Costo Estimado de Pallets","purchase_orders","estimated_pallet_cost","Decimal","No"
"Costo Total Estimado PO","purchase_orders","real_cost_estimated_po","Decimal","No"
"Costo Real PO","purchase_orders","real_cost_real_po","Decimal","No"
"Agente de Carga","purchase_orders","forwarder_name","Texto","No"
"Proveedor de Servicio","purchase_orders","service_provider","Texto","No"
"Comercializadora","purchase_orders","trading_company","Texto","No"
"Tipo Tarifa","purchase_orders","tariff_type","Texto","No"
"Ruta Logística","purchase_orders","route_label","Texto","No"
"Grupo Repositor","purchase_orders","retail_group","Texto","No"
"Tipo Cliente","purchase_orders","customer_type","Texto","No"
"Factura","purchase_orders","invoice","Texto","No"
"Fecha recepción de factura","purchase_orders","date_invoice_received","Fecha","No"
"Fecha recepción doc. proveedor","purchase_orders","date_vendor_document_received","Fecha","No"
"Factura Flete","purchase_orders","cargo_invoice_number","Texto","No"
"Factura Mercancía","purchase_orders","factura_merca","Texto","No"
"DUA Internamiento","purchase_orders","customs_dua","Texto","No"
"Expediente","purchase_orders","case_number_file","Texto","No"
"Nota de Recibo","purchase_orders","receipt_note","Texto","No"
"Notas de Visibilidad","purchase_orders","visibility_notes","Texto","No"
"Estado","purchase_orders","arrival_status","Texto","No"
"Días de retraso","purchase_orders","delay_days","Entero","No"
"status","purchase_orders","status","Lista","Sí"
"kanban_status_id","purchase_orders","kanban_status_id","ID Numérico","No"
"notes","purchase_orders","notes","Texto Largo","No"
"comments","purchase_orders","comments","Texto Largo","No"
"net_total","purchase_orders","net_total","Decimal","No"
"additional_cost","purchase_orders","additional_cost","Decimal","No"
"total","purchase_orders","total","Decimal","No"
"insurance_cost","purchase_orders","insurance_cost","Decimal","No"
"ground_transport_cost_1","purchase_orders","ground_transport_cost_1","Decimal","No"
"ground_transport_cost_2","purchase_orders","ground_transport_cost_2","Decimal","No"
"cost_nationalization","purchase_orders","cost_nationalization","Decimal","No"
"cost_ofr_estimated","purchase_orders","cost_ofr_estimated","Decimal","No"
"cost_ofr_real","purchase_orders","cost_ofr_real","Decimal","No"
"other_costs","purchase_orders","other_costs","Decimal","No"
"variable_calculare_weight","purchase_orders","variable_calculare_weight","Decimal","No"
"savings_ofr_fcl","purchase_orders","savings_ofr_fcl","Decimal","No"
"saving_pickup","purchase_orders","saving_pickup","Decimal","No"
"saving_executed","purchase_orders","saving_executed","Decimal","No"
"saving_not_executed","purchase_orders","saving_not_executed","Decimal","No"

company_id,order_number,emision_date_po,order_date,currency,price_incoterm,incoterms,logistics_incoterm,category,reason,departure_port,arrival_port,shipping_line,container_type,container_number,mbl_number,factory_proforma_number,vendor_id,vendor_number,cbm,peso_kg,peso_lb,date_booking_request,date_booking_authorized,forwader_date,inspection_date,vgm_cut_date,date_theorical_load,date_variable_date,date_carga_po,date_consolidation,release_date,dif_load_date,consolidator_name,date_etd_initial,date_etd,date_atd,date_etd_updated,date_eta,date_eta_updated,bonded_warehouse_enter,bonded_warehouse_exit,receipt_note_date,estimated_dc_availability_date,balance_payment_date,local_charges_payment_date,container_free_days,etd_dates_difference,eta_dates_difference,mode,tracking_id,applies_tlc,applies_af,has_facture_merca,used_rate_ok,uses_bonded_warehouse,apply_technical_note,etd_initial_validated,port_of_loading_validated,pallet_quantity,pallet_quantity_real,Invoice_amount,freight_amount,other_expenses,estimated_pallet_cost,real_cost_estimated_po,real_cost_real_po,forwarder_name,service_provider,trading_company,tariff_type,route_label,retail_group,customer_type,invoice,date_invoice_received,date_vendor_document_received,cargo_invoice_number,factura_merca,customs_dua,case_number_file,receipt_note,visibility_notes,arrival_status,delay_days,status,kanban_status_id,notes,comments,net_total,additional_cost,total,insurance_cost,ground_transport_cost_1,ground_transport_cost_2,cost_nationalization,cost_ofr_estimated,cost_ofr_real,other_costs,variable_calculare_weight,savings_ofr_fcl,saving_pickup,saving_executed,saving_not_executed

