NAME PORT;CODE;COUNTRY;CITY;LATITUD;LONGITUD;TYPE;;NAME SHIPPING LINE;TYPE;CODE;;transporte:;;Contenedor
Lázaro Cárdenas;MXLCD;MX;;179.448.721;-1.021.870.923;ocean;;Marfret;ocean;MFTU;;ocean;;20' dry
Mazatlán;MXMZT;MX;;231.865.662;-1.064.213.643;ocean;;SM Line;ocean;SMCU;;air;;40' dry
Ajman;AEAJM;AE;;254.052.165;555.136.433;ocean;;MOLACE;ocean;MOLU;;road;;40' high cube
Abu Dhabi;AEAUH;AE;;24.47;54.37;ocean;;Hyundai Glovis Co Ltd;ocean;HDGL;;;;20' open top
Dubai;AEDXB;AE;;25.25;55.27;ocean;;DSV;ocean;CR-DSV;;;;20' reefer
Al Fujayrah;AEFJR;AE;;25.12;56.33;ocean;;Evergreen;ocean;EGLV;;;;40' reefer
Jebel Ali;AEJEA;AE;;249.857.145;550.272.904;ocean;;BALC;ocean;BALC;;;;40' high cube reefer
Jebel Dhanna;AEJED;AE;;241.915.137;526.126.027;ocean;;Cordelia;ocean;CSYU;;;;40' open top
Khor al Fakkan;AEKLF;AE;;25.33;56.35;ocean;;Kuehne Nagel - K&N;ocean;KUEH;;;;20' flat rack
Port Rashid;AEPRA;AE;;25.284.755;552.756.505;ocean;;Crowley;ocean;CMCU;;;;40' flat rack
Umm al Qaiwain;AEQIW;AE;;25.57;55.55;ocean;;Yang Ming;ocean;YMLU;;;;20' platform
Ras al Khaimah;AERKT;AE;;25.78;55.95;ocean;;Transfar Shipping;ocean;TFLU;;;;
Ar Ruways;AERUW;AE;;24.12;52.73;ocean;;PIL;ocean;PCIU;;;;
Sharjah;AESHJ;AE;;25.35;55.38;ocean;;GRUPO RAS;ocean;GPRS;;;;
Antigua;AGANU;AG;;170.746.557;-618.175.207;ocean;;King Ocean;ocean;KOSU;;;;
Saint John's;AGSJO;AG;;17.12;-61.85;ocean;;COSIARMA;ocean;GFRU;;;;
Blowing Point;AIBLP;AI;;18.177.343;-63.093.518;ocean;;Nirint Shipping B.V.;ocean;NIRU;;;;
Road Bay;AIRBY;AI;;182.207.493;-630.653.265;ocean;;China United Lines;ocean;CULU;;;;
Durres;ALDRZ;AL;;413.328.072;194.616.074;ocean;;Honour Lane;ocean;CLNE;;;;
Bonaire;ANBON;AN;;122.018.902;-682.623.822;ocean;;Nirint Shipping;ocean;;;;;
Curacao;ANCUR;AN;;121.224.221;-688.824.233;ocean;;Hapag-Lloyd;ocean;HLCU;;;;
Sint Eustatius (Antilles);ANEUX;AN;;180.348.259;-630.841.666;ocean;;MacAndrews;ocean;;;;;
Galisby;ANGSB;AN;;-684.486.145;121.686.756;ocean;;ANL;ocean;ANNU;;;;
Philipsburg;ANPHI;AN;;180.295.839;-630.471.371;ocean;;Linea Messina;ocean;LMCU;;;;
St Maarten;ANSXM;AN;;122.248.767;-688.108.849;ocean;;SCI;ocean;SCIU;;;;
Willemstad;ANWIL;AN;;121.224.221;-688.824.233;ocean;;NYK Line;ocean;NYKU;;;;
Cabinda;AOCAB;AO;;-55.705.739;12.197.583;ocean;;COSCO SHIPPING Lines;ocean;COSU;;;;
Luanda;AOLAD;AO;;-88.399.876;132.894.368;ocean;;Hamburg Süd;ocean;SUDU;;;;
Lobito;AOLOB;AO;;-123.757.287;135.610.451;ocean;;Sinokor Merchant Marine;ocean;SKLU;;;;
Namibe;AOMSZ;AO;;-151.978.317;121.575.544;ocean;;Dong Young Shipping;ocean;;;;;
Soyo;AOSZA;AO;;-61.410.265;123.521.148;ocean;;The China Navigation Company;ocean;;;;;
Bahia Blanca;ARBHI;AR;;-38.72;-62.28;ocean;;ACL;ocean;ACLU;;;;
Buenos Aires;ARBUE;AR;;-34.58;-58.67;ocean;;Tropical Shipping;ocean;;;;;
Campana;ARCMP;AR;;-34.15;-58.95;ocean;;ZIMACL;ocean;;;;;
Corrientes;ARCNQ;AR;;-274.692.131;-588.306.349;ocean;;MACS;ocean;;;;;
Comodoro Rivadavia;ARCRD;AR;;-458.656.149;-674.822.429;ocean;;Dongjin Shipping;ocean;;;;;
Caleta Olivia;ARCVI;AR;;-464.425.647;-675.171.533;ocean;;Emirates Shipping Line;ocean;ESPU;;;;
Delta Dock;ARDDC;AR;;-59.199.761;-340.447.572;ocean;;Heung-A Shipping;ocean;HEUN;;;;
La Plata;ARLPG;AR;;-34.85;-57.88;ocean;;SM Line;ocean;;;;;
Mar del Plata;ARMDQ;AR;;-38.05;-57.53;ocean;;Pan Continental Shipping;ocean;;;;;
Necochea;ARNEC;AR;;-385.544.968;-587.396.088;ocean;;ECU Worldwide;ocean;;;;;
Goya;AROYA;AR;;-291.442.242;-592.643.242;ocean;;Hyundai Merchant Marine Co.;ocean;HDMU;;;;
Puerto Madryn;ARPMY;AR;;-42.75;-65.03;ocean;;Pan Ocean;ocean;POLU;;;;
Puerto Deseado;ARPUD;AR;;-47.75;-65.9;ocean;;Interasia Lines;ocean;IAAU;;;;
Rio Grande;ARRGA;AR;;-53.78;-67.7;ocean;;Namsung;ocean;;;;;
Rio Gallegos;ARRGL;AR;;-51.63;-69.22;ocean;;Arkas Line;ocean;ARKU;;;;
Rio Cullen;ARRIC;AR;;-528.955.609;-683.523.021;ocean;;OOCL;ocean;OOLU;;;;
Rosario;ARROS;AR;;-32.95;-60.65;ocean;;Kambara Kisen;ocean;;;;;
San Antonio Este;ARSAE;AR;;-40.8;-64.73;ocean;;Bahri;ocean;NSAU;;;;
Santa Fe;ARSFN;AR;;-31.6;-60.68;ocean;;Safmarine;ocean;SAFM;;;;
San Lorenzo;ARSLO;AR;;-328.072.889;-607.238.722;ocean;;Turkon Line;ocean;TRKU;;;;
San Nicolas de los Arroyos;ARSNS;AR;;-33.33;-60.23;ocean;;Gold Star Line;ocean;GSLU;;;;
San Pedro;ARSPD;AR;;-33.68;-59.17;ocean;;Alianca;ocean;ANRM;;;;
Ushuaia;ARUSH;AR;;-54.8;-68.3;ocean;;Matson;ocean;MATS;;;;
Zarate;ARZAE;AR;;-34.1;-59.03;ocean;;Grimaldi;ocean;GRIU;;;;
Pago Pago;ASPPG;AS;;-142.756.319;-1.707.020.359;ocean;;Matson;ocean;MATS;;;;
Hainfeld;ATLTX;AT;;480.337.274;157.733.196;ocean;;Great White Fleet;ocean;GWFC;;;;
Abbot Point;AUABP;AU;;-199.078.861;1.480.846.726;ocean;;Alianca;ocean;ANRM;;;;
Adelaide;AUADL;AU;;-34.92;138.58;ocean;;Maersk Line;ocean;MAEU;;;;
Ardrossan;AUARD;AU;;-344.230.702;1.379.174.283;ocean;;ONE;ocean;ONEY;;;;
Bremer Bay;AUBBY;AU;;-343.926.208;119.379.376;ocean;;Sealand;ocean;SEAU;;;;
Bell Bay;AUBEL;AU;;-411.154.147;1.468.635.558;ocean;;CMA CGM;ocean;CMDU;;;;
Brisbane;AUBNE;AU;;-27.47;153.02;ocean;;Seaboard Marine;ocean;SMLU;;;;
Booby Island;AUBOO;AU;;-10.6;141.92;ocean;;Wan Hai Lines;ocean;WHLU;;;;
Burnie;AUBWT;AU;;-410.524.649;1.459.068.513;ocean;;MSC;ocean;MEDU;;;;
Chittering;AUCHT;AU;;-314.700.549;1.161.010.108;ocean;;Seaboard Marine;ocean;SMLU;;;;
Cairns;AUCNS;AU;;-169.203.338;1.457.708.595;ocean;;ZIM;ocean;ZIMU;;;;
Devonport;AUDPO;AU;;-411.783.532;1.463.609.534;ocean;;Korea Marine Transport;ocean;KMTU;;;;
Darwin;AUDRW;AU;;-12.45;130.83;ocean;;Sino Lines;ocean;SNLU;;;;
Fremantle;AUFRE;AU;;-320.560.399;1.157.471.797;ocean;;DHL International E.C.;air;ES-DHX;;;;
Gladstone;AUGLT;AU;;-238.487.083;1.512.597.998;ocean;;flynas;air;XY-KNE;;;;
Gove;AUGOV;AU;;-123.780.716;1.308.717.878;ocean;;MAS AIR;air;MS-AIR;;;;
Hobart;AUHBA;AU;;-42.87;147.3;ocean;;World2fly;air;2W-WFL;;;;
Hay Point;AUHPT;AU;;-213.055.785;1.492.921.629;ocean;;StratAir;air;ST-STA;;;;
Launceston;AULST;AU;;-414.261.807;1.471.124.679;ocean;;DSV;air;CR-DSV;;;;
Melbourne;AUMEL;AU;;-37.82;144.97;ocean;;European Air Transport;air;EU-ATR;;;;
New Norfolk;AUNLK;AU;;-427.806.827;1.470.636.496;ocean;;Kuehne Nagel - K&N;air;KUEH;;;;
Newcastle;AUNTL;AU;;-32.926.689;1.517.789.205;ocean;;Nippon Cargo Airlines;air;KZ-NCA;;;;
Port Adelaide;AUPAE;AU;;-348.477.448;1.385.073.616;ocean;;ANA CARGO;air;AN-ANA;;;;
Port Hedland;AUPHE;AU;;-203.116.266;1.185.752.577;ocean;;Swiss International Air Lines;air;LX-SWR;;;;
Port Kembla;AUPKL;AU;;-344.800.735;150.900.495;ocean;;Turkish Airlines;air;TK-THY;;;;
Sydney;AUSYD;AU;;-33.85;151.2;ocean;;Avianca Cargo;air;QT-TPA;;;;
Townsville;AUTSV;AU;;-192.576.268;1.468.178.707;ocean;;GRUPO RAS;air;GPRS;;;;
Weipa;AUWEI;AU;;-126.591.475;1.418.384.064;ocean;;Avianca Argentina;air;A0-MCJ;;;;
Aruba;AWAUA;AW;;12.5;-69.97;ocean;;C807;air;C807;;;;
Oranjestad;AWORJ;AW;;125.092.044;-700.086.306;ocean;;Avianca Brasil;air;O6-ONE;;;;
Baku;AZBAK;AZ;;404.092.617;498.670.924;ocean;;CPS;air;CPX;;;;
Bridgetown;BBBGI;BB;;131.132.219;-595.988.089;ocean;;Avianca El Salvador;air;TA-TAI;;;;
Chittagong;BDCGP;BD;;223.475.365;918.123.324;ocean;;HONOUR LANE;air;CLNE;;;;
Chalna;BDCHL;BD;;226.036.965;895.139.693;ocean;;Aerocaribe;air;JK-ACL;;;;
Dhaka;BDDAC;BD;;23.810.332;904.125.181;ocean;;Cathay Pacific Airways;air;CX-CPA;;;;
Mongla;BDMGL;BD;;224.942.196;896.016.171;ocean;;Korean Air;air;KE-KAL;;;;
